SamAccountName,Display Name,UserPrincipalName,Email,Department,Title,Company,Manager,Enabled,Locked Out,Last Logon,When Created,Office,DistinguishedName
ext_jsoto,Jorge Soto Vera,ext_jsoto@capstone.cl,jorge.soto@servintegrales.cl,Mantencion,Tecnico mecanico,Servicios Integrales SPA,"CN=Juan Perez,OU=Contratistas,DC=capstone,DC=local",TRUE,FALSE,15/07/2026,03/02/2025,Mantos Blancos,"CN=ext_jsoto,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext_mrivas,Maria Rivas Leon,ext_mrivas@capstone.cl,maria.rivas@servintegrales.cl,Mantencion,Planificadora,SERV. INTEGRALES S.p.A.,juan.perez@servintegrales.cl,TRUE,FALSE,20/07/2026,10/03/2025,Mantos Blancos,"CN=ext_mrivas,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext_pcastro,Pedro Castro Diaz,ext_pcastro@capstone.cl,pedro.castro@servintegrales.cl,Operaciones,Operador,servicios integrales spa,"Soto, Andrea <andrea.soto@servintegrales.cl>",TRUE,FALSE,02/08/2026,15/01/2026,Mantoverde,"CN=ext_pcastro,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext_lmunoz,Luis Munoz Rojas,ext_lmunoz@capstone.cl,luis.munoz@servintegrales.cl,Operaciones,Operador,Servicios Integrales SpA,"Soto, Andrea <andrea.soto@servintegrales.cl>",FALSE,FALSE,10/02/2026,20/06/2025,Mantoverde,"CN=ext_lmunoz,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext.cvaldes,Carla Valdes Pino,ext.cvaldes@capstone.cl,carla.valdes@montajesandinos.cl,Proyectos,Ingeniera de proyecto,Montajes Andinos Ltda,"CN=Rodrigo Munoz,OU=Contratistas,DC=capstone,DC=local",TRUE,FALSE,25/07/2026,05/05/2025,Santiago,"CN=ext.cvaldes,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext-ftapia,Felipe Tapia Silva,ext-ftapia@capstone.cl,felipe.tapia@montajesandinos.cl,Proyectos,Supervisor,MONTAJES ANDINO LTDA,rodrigo.munoz@montajesandinos.cl,TRUE,TRUE,18/07/2026,05/05/2025,Santiago,"CN=ext-ftapia,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext_agonzalez,Ana Gonzalez Paz,ext_agonzalez@capstone.cl,ana.gonzalez@montajesandinos.cl,Proyectos,Prevencionista,Montajes Andinos Limitada,,TRUE,FALSE,,12/09/2025,Mantoverde,"CN=ext_agonzalez,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext_rherrera,Ricardo Herrera Lagos,ext_rherrera@capstone.cl,ricardo.herrera@transportesnortinos.cl,Logistica,Conductor,Transportes Nortinos SA,"CN=Patricia Nunez,OU=Contratistas,DC=capstone,DC=local",TRUE,FALSE,05/08/2026,22/11/2024,Mantos Blancos,"CN=ext_rherrera,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext_svega,Sofia Vega Munoz,ext_svega@capstone.cl,sofia.vega@transportesnortinos.cl,Logistica,Coordinadora,TRANSPORTES NORTINOS S.A.,patricia.nunez@transportesnortinos.cl,TRUE,FALSE,04/08/2026,22/11/2024,Antofagasta,"CN=ext_svega,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext_dcortes,Diego Cortes Ruiz,ext_dcortes@capstone.cl,diego.cortes@transportesnortinos.cl,Logistica,Conductor,Transportes Nortinos S A,,FALSE,FALSE,03/01/2026,15/03/2025,Mantos Blancos,"CN=ext_dcortes,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext_bmella,Bernardita Mella Soto,ext_bmella@capstone.cl,b.mella@aseoindustrialdelnorte.cl,Servicios Generales,Supervisora,Aseo Industrial del Norte SpA,"CN=Marcela Fuentes,OU=Contratistas,DC=capstone,DC=local",TRUE,FALSE,01/08/2026,08/04/2026,Mantoverde,"CN=ext_bmella,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext_jaraya,Jaime Araya Nunez,ext_jaraya@capstone.cl,j.araya@aseoindustrialdelnorte.cl,Servicios Generales,Auxiliar,ASEO INDUSTRIAL DEL NORTE,marcela.fuentes@aseoindustrialdelnorte.cl,TRUE,FALSE,29/07/2026,08/04/2026,Mantoverde,"CN=ext_jaraya,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext_nsalinas,Nicolas Salinas Bravo,ext_nsalinas@capstone.cl,n.salinas@seguridadaustral.cl,Seguridad,Guardia,Seguridad Austral Ltda,,TRUE,FALSE,,01/07/2026,Santiago,"CN=ext_nsalinas,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext_vfigueroa,Valentina Figueroa Diaz,ext_vfigueroa@capstone.cl,v.figueroa@seguridadaustral.cl,Seguridad,Supervisora,Seguridad Austral Limitada,"CN=Hector Salas,OU=Contratistas,DC=capstone,DC=local",TRUE,FALSE,06/08/2026,01/07/2026,Santiago,"CN=ext_vfigueroa,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext_emorales,Esteban Morales Pinto,ext_emorales@capstone.cl,,Mantencion,Soldador,Servicios Integrales SPA,"CN=Juan Perez,OU=Contratistas,DC=capstone,DC=local",TRUE,FALSE,12/06/2026,03/02/2025,Mantos Blancos,"CN=ext_emorales,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
ext_ipizarro,Ignacio Pizarro Rojas,ext_ipizarro@capstone.cl,i.pizarro@sincontrato.cl,Sin asignar,Consultor,,,TRUE,FALSE,30/07/2026,18/07/2026,,"CN=ext_ipizarro,OU=EXTERNOS,OU=Usuarios,DC=capstone,DC=local"
mtexto,Manuel Texto Ortiz,mtexto@capstone.cl,manuel.texto@capstone.cl,TI,Analista,Capstone Copper,"CN=Gerente TI,OU=Usuarios,DC=capstone,DC=local",TRUE,FALSE,06/08/2026,01/02/2023,Santiago,"CN=mtexto,OU=Usuarios,DC=capstone,DC=local"
jextra,Javiera Extra Lobos,jextra@capstone.cl,javiera.extra@capstone.cl,Finanzas,Analista,Capstone Copper,"CN=Gerente Finanzas,OU=Usuarios,DC=capstone,DC=local",TRUE,FALSE,05/08/2026,10/10/2022,Santiago,"CN=jextra,OU=Usuarios,DC=capstone,DC=local"
rsepulveda,Rodrigo Sepulveda Vera,rsepulveda@capstone.cl,rodrigo.sepulveda@capstone.cl,Operaciones,Jefe de turno,Capstone Copper,"CN=Gerente Operaciones,OU=Usuarios,DC=capstone,DC=local",TRUE,FALSE,06/08/2026,15/06/2021,Mantos Blancos,"CN=rsepulveda,OU=Usuarios,DC=capstone,DC=local"
